hsa-mir-155,hsa-mir-491,hsa-mir-196b,hsa-mir-10a,hsa-mir-21,hsa-mir-148a,hsa-mir-1266,hsa-mir-200c,hsa-mir-128,hsa-mir-146b,hsa-mir-1296,hsa-mir-15b,hsa-mir-28,hsa-mir-105,hsa-mir-653,hsa-mir-452,hsa-mir-767,hsa-mir-141,hsa-mir-34a,hsa-mir-193a,hsa-mir-139,hsa-mir-374a,hsa-mir-23a,hsa-mir-504,hsa-mir-27a,hsa-mir-346,hsa-mir-503,hsa-mir-142,hsa-mir-501,hsa-mir-10b,hsa-mir-200a,hsa-mir-200b,hsa-mir-9,hsa-mir-30a,hsa-mir-574,hsa-mir-339,hsa-mir-100,hsa-mir-25,hsa-mir-138,hsa-mir-217,hsa-mir-335,hsa-mir-96,hsa-mir-671,hsa-mir-1262,hsa-mir-616,hsa-mir-455,hsa-mir-937,hsa-mir-383,hsa-mir-99b,hsa-mir-424
0.73386,0.20796,0.08488,0.41906,0.83732,0.58292,0.38322,0.53983,0.4581,0.45707,0.20132,0.52965,0.77672,0.23448,0.07695,0.43604,0.21766,0.37469,0.46319,0.50451,0.37369,0.7903,0.93378,0.13027,0.975,0.16813,0.34362,0.50507,0.53324,0.16797,0.73104,0.4873,0.79324,0.69591,0.50286,0.38029,0.67378,0.63085,0.2819,0.30034,0.80538,0.4997,0.60577,0.30521,0.10388,0.47875,0.93538,0.46698,0.70995,0.53746
0.47117,0.32731,0.15492,0.3544,0.57272,0.46573,0.2992,0.38794,0.48106,0.32329,0.53945,0.46581,0.77314,0.2811,0.17799,0.40532,0.26703,0.2909,0.19876,0.58429,0.41772,0.89937,0.56591,0.56178,0.63639,0.45034,0.10132,0.47552,0.58071,0.52093,0.51307,0.29115,0.90619,0.77648,0.58864,0.46195,0.64817,0.49543,0.31258,0.27132,0.35216,0.2199,0.36147,0.62271,0.1154,0.47932,0.44142,0.70375,0.56819,0.50952
0.48802,0.61281,0.22814,0.38475,0.59294,0.32681,0.35426,0.66021,0.4823,0.31347,0.80205,0.47871,1,0.48579,0.09649,0.49314,0.42193,0.41819,0.40031,0.61101,0.65906,0.81814,0.70469,0.37051,0.84358,0.51639,0.27562,0.453,0.52104,0.62221,0.61671,0.378,0.86826,0.56993,0.70823,0.49245,0.66555,0.72259,0.70644,0.31922,0.3755,0.16227,0.29459,1,0.23855,0.60062,0.81777,0.58475,0.51115,0.63303
0.46043,0.39275,0.19597,0.26289,0.40896,0.2536,0.16723,0.30487,0.29063,0.28016,0.70458,0.53624,0.62027,0.56899,0.22918,0.47565,0.55621,0.24373,0.16719,0.46876,0.49118,0.23252,0.67147,0.43559,0.59965,0.43536,0.49601,0.45596,0.47269,0.51821,0.07973,0.10811,0.93964,0.55755,0.4307,0.33767,0.35553,0.57537,0.53447,0.30289,0.2284,0.1628,0.34887,0.38918,0.24659,0.61419,0.60344,0.19466,0.60301,0.21664
0.40149,0.44043,0.42377,0.40204,0.32017,0.36032,0.26938,0.28687,0.52433,0.0522,0.59507,0.49541,0.60534,0.36311,0.16123,0.44665,0.34416,0.32616,0.41615,0.40261,0.42756,0.48682,0.72666,0.34121,0.76106,0.52282,0.35397,0.55008,0.49265,0.79163,0.34428,0.24954,0.91191,0.6478,0.55151,0.42679,0.42662,0.55916,0.38641,0.24159,0.35864,0.2744,0.44764,0.23904,0.41076,0.51991,0,0.51691,0.6243,0.48526
0.12987,0.24846,0.08549,0.17504,0.22975,0.2074,0.1834,0.17587,0.59759,0.2104,0.51281,0.37018,0.3294,0.4977,0.04626,0.13856,0.56174,0.19038,0.15614,0.36681,0.50302,0.15987,0.23531,0.22018,0.28131,0.38445,0.44081,0.22021,0.29326,0.73281,0.18429,0.16153,0.95011,0.46206,0.0898,0.20589,0.50015,0.50822,0.49447,0.12855,0.49123,0.55927,0.20495,0.10476,0.12704,0.20195,0.14479,0.37262,0.20666,0.26709
0.38527,0.92566,0.08909,0.3555,0.24657,0.48281,0.22285,0.45244,0.90588,0.61398,0.78381,0.41358,0.52652,0.65089,0.41841,0.27106,0.56086,0.40299,0.47109,0.42398,1,0.4123,0.42612,0.93819,0.4773,0.98592,0.40229,0.48505,0.5454,0.22359,0.58565,0.46947,0.82178,0.58899,0.66587,0.41425,0.61479,0.40772,0.89959,0.18395,0.59503,0,0.80237,0.19684,0.39564,0.4949,0.31455,0.9213,0.80545,0.36659
0.23651,0.64857,0.08036,0.29849,0.17078,0.40856,0.10035,0.30823,0.60701,0.31133,0.6968,0.36358,0.41606,0.52698,0.17647,0.19665,0.51596,0.1846,0.39541,0.27378,0.71849,0.28701,0.33023,0.38386,0.49597,0.7116,0.46143,0.33661,0.41896,0.18634,0.31977,0.04233,0.9511,0.55745,0.17014,0.27602,0.49427,0.40415,0.61141,0.22219,0.4241,0.39068,0.34746,0.21896,0.14639,0.39241,0.12572,0.68314,0.43803,0.4455
0.38115,0.53349,0.06623,0.39136,0.37722,0.43476,0.16802,0.43658,0.44295,0.47969,0.56554,0.26848,0.32118,0.46178,0.28645,0.25777,0.41742,0.39187,0.57324,0.24397,0.52537,0.45515,0.28525,0.3649,0.26919,0.65479,0.29132,0.49399,0.59109,0.73777,0.57051,0.29981,0.97387,0.52696,0.43809,0.3088,0.34937,0.40832,0.58031,0.42452,0.43443,0.45838,0.40092,0.24335,0.24471,0.41295,0.26711,0.68075,0.43275,0.30472
0.35313,0.21274,0.03442,0.24733,0.50837,0.4646,0.15567,0.35679,0.2341,0.30325,0.23593,0.18105,0.35521,0.44984,0.18158,0.21331,0.40821,0.15171,0.13996,0.19208,0.09287,0.60467,0.39108,0.38386,0.29633,0.55277,0.39947,0.46333,0.5928,0.75774,0.20721,0.11607,0.98384,0.45359,0.31323,0.14297,0.33764,0.27395,0.27239,0.39738,0.25587,0.20301,0.21745,0.40899,0.24511,0.4259,0.3877,0.61522,0.3812,0.30757
0.44851,0.31382,0.12227,0.36687,0.2299,0.27979,0.22124,0.23672,0.26597,0.33826,0.43151,0.44477,0.27819,0.38335,0.0635,0.29436,0.40218,0.16312,0.35473,0.11422,0.36377,0.37111,0.10891,0.08543,0.10119,0.51761,0.17585,0.44101,0.45786,0.46694,0.22076,0.1248,0.99222,0.41913,0.31468,0.16601,0.32522,0.36604,0.31979,0.47639,0.29133,0.22207,0.22309,0.07873,0.21516,0.19635,0.07767,0.39207,0.24289,0.28869
0.24501,0.23128,0.08842,0.2447,0.1888,0.34743,0.14588,0.54055,0.35278,0.24962,0.52296,0.20879,0.40921,0.55656,0.11622,0.07033,0.47136,0.4466,0.13653,0.22081,0.35768,0.5857,0.27109,0.36216,0.24241,0.38722,0.3353,0.44238,0.48658,0.85866,0.05903,0.05655,0.96633,0.37749,0.0381,0.15879,0.2885,0.41251,0.2949,0.48638,0.34402,0.71478,0.2004,0.11824,0.04933,0.254,0.09116,0.65851,0.3514,0.4413
0.46685,0.38472,0.32535,0.37686,0.63821,0.36933,0.30236,0.59147,0.41894,0.65196,0.41593,0.31789,0.57571,0.44359,0.23979,0.47646,0.40656,0.46355,0.49507,0.29418,0.48735,0.77244,0.56032,0.45059,0.40185,0.68384,0.58374,0.61692,0.65591,0.57305,0.50941,0.25404,0.94037,0.5191,0.72876,0.244,0.50516,0.38046,0.53878,0.43747,0.29983,0.16277,0.42896,0.45737,0.33732,0.48214,0.22617,0.64749,0.66538,0.36783
0.35122,0.30849,0.18905,0.44382,0.23705,0.52625,0.12707,0.45317,0.3835,0.32507,0.43454,0.37231,0.38376,0.62289,0.1344,0.22184,0.51353,0.13302,0.20358,0.17646,0.57257,0.55898,0.23531,0.34467,0.17496,0.57293,0.46929,0.33578,0.6703,0.87127,0.2171,0.17677,0.94732,0.35589,0.56645,0.23837,0.41989,0.54779,0.39186,0.22677,0.42984,0.65385,0.53407,0.20135,0.08876,0.34545,0.19862,0.41816,0.52158,0.55501
0.21583,0.4759,0.14726,0.35873,0.07902,0.44426,0.16718,0.22861,0.54706,0.23302,0.41424,0.12099,0.34495,0.48504,0.12832,0.07869,0.40697,0.20957,0.39753,0.17174,0.50517,0.5736,0.26313,0.35066,0.38042,0.52165,0.47444,0.28749,0.49404,0.41399,0.25345,0.13163,0.97975,0.51933,0.25527,0.15497,0.38156,0.33246,0.46202,0.29297,0.35085,0.25422,0.33273,0.23956,0.12765,0.20547,0.22315,0.57953,0.38111,0.61781
0.28046,0.29967,0.12531,0.40933,0.19848,0.34594,0.27437,0.32032,0.3967,0.35199,0.2814,0.51152,0.76395,0.45419,0.04071,0.24118,0.39265,0.13406,0.16952,0.17013,0.39786,0.65832,0.31505,0.33865,0.43741,0.52932,0.1213,0.35032,0.4678,0.77854,0.27865,0.31193,0.94573,0.60611,0.22744,0.30248,0.52515,0.58079,0.28259,0.4936,0.25824,0.33481,0.37431,0.16866,0.05495,0.19111,0.25831,0.41542,0.40801,0.26091
0.49843,0.46644,0.14322,0.37854,0.03569,0.55087,0.09733,0.20555,0.28585,0.29579,0.63199,0.26682,0.02872,0.31691,0.19352,0.12679,0.3456,0.32514,0.43709,0.11887,0.29513,0.41638,0.54091,0.40841,0.48784,0.50925,0.52028,0.59509,0.50626,0.76851,0.19531,0,0.97483,0.43831,0.44302,0.46754,0.20205,0.12606,0.58643,0.25708,0.50899,0.48824,0.40676,0.50454,0.36043,0.687,0,0.51803,0.70898,0.6465
0.5824,0.33287,0.41142,0.29958,0.40697,0.30027,0.06949,0.55168,0.32889,0.33341,0.59891,0.39584,0.03711,0.35397,0.31083,0.27452,0.25839,0.62878,0.51242,0.1035,0.46125,0.33827,0.68674,0.55016,0.50694,0.72938,0.61661,0.60489,0.42983,0.4584,0.14452,0.13846,0.98084,0.27191,0.54298,0.27048,0.19527,0.14411,0.52109,0.11649,0.42253,0.20855,0.64013,0.2637,0.43373,0.54088,0.08707,0.45056,0.68508,0.55563
0.13685,0.2915,0.02415,0.36414,0.25507,0.34028,0.14847,0.47319,0.645,0.2825,0.50009,0.32338,0.5292,0.54227,0.10697,0.21413,0.52464,0.26067,0.25813,0.56672,0.52999,0.48013,0.26706,0.58905,0.31631,0.53803,0.34446,0.18832,0.53264,0.78693,0.54877,0.54561,0.93991,0.71552,0.25316,0.26963,0.63197,0.48379,0.52472,0.40194,0.49961,0.51334,0.46868,0.42571,0.09231,0.30359,0.27389,0.91108,0.49794,0.26045
0.46737,0.28993,0.02197,0.33394,0.31427,0.36046,0.12143,0.50479,0.4292,0.28131,0.46375,0.31748,0.47443,0.51542,0.2669,0.18642,0.51243,0.26094,0.52203,0.22661,0.46356,0.47121,0.37214,0.04567,0.39938,0.6625,0.30557,0.43762,0.55469,0.68593,0.38487,0.25211,0.97076,0.64979,0.38372,0.27302,0.45556,0.42324,0.51284,0.36023,0.27464,0.34809,0.4124,0,0.17412,0.30196,0.22431,0.40975,0.35744,0.34896
