hsa-mir-155,hsa-mir-491,hsa-mir-196b,hsa-mir-10a,hsa-mir-21,hsa-mir-148a,hsa-mir-1266,hsa-mir-200c,hsa-mir-128,hsa-mir-146b,hsa-mir-1296,hsa-mir-15b,hsa-mir-28,hsa-mir-105,hsa-mir-653,hsa-mir-452,hsa-mir-767,hsa-mir-141,hsa-mir-34a,hsa-mir-193a,hsa-mir-139,hsa-mir-374a,hsa-mir-23a,hsa-mir-504,hsa-mir-27a,hsa-mir-346,hsa-mir-503,hsa-mir-142,hsa-mir-501,hsa-mir-10b,hsa-mir-200a,hsa-mir-200b,hsa-mir-9,hsa-mir-30a,hsa-mir-574,hsa-mir-339,hsa-mir-100,hsa-mir-25,hsa-mir-138,hsa-mir-217,hsa-mir-335,hsa-mir-96,hsa-mir-671,hsa-mir-1262,hsa-mir-616,hsa-mir-455,hsa-mir-937,hsa-mir-383,hsa-mir-99b,hsa-mir-424
0.38413,0.14948,0.02815,0.00436,0.63497,0.0436,0.98207,0.25109,0.70342,0.63282,0.00044,0.39816,0.16351,0.02673,0.1632,0.8529,0.34317,0.06514,0.5267,0.07612,0.81367,0.32024,0.62402,0.80122,0.57066,0.57832,0.00401,0.07268,0.08088,0.00544,0.00808,0.36202,0.55576,0.25692,0.7531,0.05622,0.46207,0.73376,0.19849,0.02316,0.41132,0.02083,0.02102,0,0.03022,0.08137,0.05828,0.04971,0.06675,0.30399
0.63315,0.00097,0.10024,0.1119,0.84049,0.45892,0.01416,0.42199,0.45528,0.1843,0.00719,0.52691,0.94193,0.30026,0.0243,0.01649,0.01993,0.07455,0.1538,0.06673,0.37835,0.68868,0.37981,0.74338,0.6589,0.36324,0.39187,0.19617,0.18312,0.72985,0.00151,0.0431,0.72987,0.356,0.48689,0.18368,0.49176,0.8525,0.25555,0.32565,0.83548,0.24898,0.03096,0.0481,0.05918,0.11296,0.15468,0.04478,0.08766,0.43668
0.22792,0.50194,0.17267,0.01065,1,0.78943,0.03014,0.04075,0.3691,0.34915,0.52398,0.21202,0.69981,0.36086,0.09015,0.28814,0.20556,1,0.26696,0.14537,0.26034,0.76211,0.21208,0.05637,0.88214,0.02653,0.65013,1,0.25248,0.38644,1,0.57647,0.80658,0.43295,0.12098,0.35133,0.49176,0.75649,0.71729,0.03516,0.61056,1,0.05334,0.0481,0.06722,0.11376,0.1089,0.05763,0.13164,0.90735
0.11361,1,0.27184,0.05211,0.73038,0.43552,0.00321,0.03046,0.66346,0.36291,0.64178,0.20746,0.65533,0.22211,0.02995,0.08024,0.11664,0.45893,0.27981,0.03882,0.49017,0.77386,0.17021,0.07637,0.7571,0.03419,0.12994,0.67713,0.11382,0.60074,0.03921,0.03339,0.7085,0.50219,0.18029,0.20094,0.58563,0.50717,0.46181,0.02957,0.71372,0.46964,0.02899,0.04545,0.0032,0.13107,0.0728,0.15038,0.23321,0.40965
0.31938,0.46661,0.27886,0.12812,0.63497,0.35002,0.32856,0.10926,0.28791,0.21145,0.55827,0.21657,0.52907,0.10372,0.0289,0.02508,0.05134,0.24023,0.76327,0.08925,0.17037,0.62753,0.02605,0.81758,0.82292,0.34092,0.21173,0.96043,0.11883,0.61123,0.03495,0.01693,0.59584,0.44094,0.50587,0.17665,0.82405,0.64848,0.18801,0.08019,0.46153,0.14763,0.01049,0.08032,0.01494,0.14493,0.15164,0.02391,0.22745,0.40096
0.14129,0.92806,0.26335,0.09315,0.62741,0.31864,0.2698,0.02621,0.73565,0.2298,1,0.181,0.53338,0.12962,0.03412,0.04991,0.04829,0.26265,0.61703,0.05084,0.40124,0.59929,0,0.07721,0.77811,0.04066,0.156,0.84158,0.13462,0.60627,0.04015,0.01451,0.62144,0.68005,0.35921,0.09759,0.65611,0.51335,0.51509,0.09138,0.58905,0.26177,0.01174,0.06121,0.01463,0.10506,0.12222,0.17631,0.2314,0.52915
0.20056,0.74025,0.3654,0.14629,0.62741,0.45211,0.29703,0.03874,0.51152,0.23704,0.52014,0.26029,0.5252,0.13068,0.03884,0.0111,0.01706,0.23101,0.56233,0.10479,0.42031,0.7247,0.05545,0.39962,0.78926,0.09269,0.13349,0.38459,0.14225,0.47649,0.06906,0.04987,0.66678,0.39175,0.38699,0.09671,0.69026,0.60528,0.37617,0.11185,0.41918,0.18762,0.01431,0.09441,0.02925,0.12167,0.11563,0.07576,0.21361,0.5503
0.19434,0.79003,0.94794,0.36932,0.753,0.61692,0,0.02443,0.86262,0.46593,0.60472,0.30705,0.65022,0.12677,0.0289,1,0.0892,0.42762,0.39745,0.07524,0.58573,0.81317,0.32439,0.08703,0.8005,0.02509,0.11174,0.60076,0.16558,0.47649,0.09765,0.09998,0.64721,0.71066,0.42145,0.39576,0.7081,0.64039,0.40177,0.1171,0.97035,0.2163,0.05379,0.047,0.02547,0.13609,0.07062,0.18251,0.28571,0.57236
0.93358,0.37178,0.07482,0.0863,0.71007,0.2264,0.05053,0.13319,0.33745,0.25278,0.09403,0.21657,0.52127,0.59479,0.08395,0.01152,0.64551,0.04572,0.12604,1,0.32623,0.43318,0.16546,0.10599,0.30137,0.05289,0.36162,0.01979,0.49208,0.29086,0.00434,0.08502,0.61203,0.50711,0.29868,0.20905,0.35162,0.75649,0.36241,0.01726,0.29591,0.35254,1,0.06697,0.13998,1,0.23607,0.27814,1,0.1509
0.19006,0.36852,0.13707,0.04952,0.79432,0.52878,0.01887,0.1035,0.59588,0.35737,0.4939,0.62546,0.7761,0.28162,0.02567,0.26911,0.32464,0.29247,0.14882,0.07379,0.27684,0.92029,0.35847,0.34834,0.68476,0.04323,0.13535,0.41112,0.25718,0.67306,0.1156,0.09034,0.69846,0.63143,0.55306,0.34457,0.81251,0.8038,0.2594,0.85966,0.76081,0.52038,0.03944,0.09312,0.02524,0.04271,0.03844,0.25832,0.23321,0.72401
